date,team1,indicator,team2,score,location,attendance
12/13/2024,Vermont,vs.,Denver,1-1,"Cary, NC","10,614"
12/13/2024,Marshall,vs.,Ohio St.,1-0,"Cary, NC","10,614"
10/11/2024,Army West Point,vs.,Navy,2-1,"Chester, PA","10,134"
10/06/2024,Cal Poly,@,UC Santa Barbara,0-0,,"9,985"
09/28/2024,UC Santa Barbara,@,Cal Poly,0-2,,"9,657"
11/17/2024,Michigan,@,Ohio St.,0-1,,"8,938"
08/22/2024,Winthrop,@,South Carolina,1-7,,"6,622"
08/30/2024,Clemson,@,South Carolina,2-2,,"6,400"
09/20/2024,Wake Forest,@,Clemson,0-1,,"6,222"
09/06/2024,Stanford,@,Clemson,3-2,,"6,179"
09/08/2024,Saint Louis,vs.,SIUE,0-1,"St. Louis, MO","6,128"
12/16/2024,Vermont,vs.,Marshall,2-1,"Cary, NC","6,057"
08/23/2024,Indiana,@,Saint Louis,0-2,,"5,753"
09/20/2024,Marshall,@,South Carolina,2-1,,"5,188"
10/04/2024,Kentucky,@,South Carolina,2-0,,"5,104"
09/22/2024,Portland,@,UC Santa Barbara,0-3,,"4,960"
09/20/2024,Georgetown,@,Creighton,1-0,,"4,605"
08/29/2024,Notre Dame,@,Indiana,2-2,,"4,573"
09/10/2024,USC Upstate,@,South Carolina,0-4,,"4,455"
09/28/2024,Seton Hall,@,UConn,0-0,,"4,364"
08/22/2024,Penn St.,@,Clemson,0-3,,"4,210"
10/04/2024,North Carolina,@,Clemson,2-3,,"4,095"
09/13/2024,North Carolina,@,Duke,2-1,,"4,000"
08/25/2024,Georgetown,@,Maryland,2-0,,"3,996"
09/04/2024,Indiana,@,Butler,1-1,,"3,934"
08/25/2024,North Florida,@,South Carolina,2-2,,"3,912"
10/23/2024,James Madison,@,South Carolina,1-3,,"3,861"
10/05/2024,Michigan St.,@,Maryland,1-2,,"3,856"
09/15/2024,ETSU,@,South Carolina,0-2,,"3,844"
09/21/2024,UC Davis,@,San Diego St.,3-3,,"3,802"
09/24/2024,Queens (NC),@,South Carolina,0-3,,"3,744"
09/06/2024,Denver,@,Creighton,3-1,,"3,670"
08/29/2024,NJIT,@,UConn,1-2,,"3,614"
09/28/2024,Loyola Chicago,@,Saint Louis,1-2,,"3,611"
09/01/2024,Yale,@,Indiana,0-2,,"3,608"
09/20/2024,NC State,@,North Carolina,0-2,,"3,601"
08/25/2024,California Baptist,@,North Carolina,0-0,,"3,501"
10/11/2024,Penn St.,@,Indiana,0-2,,"3,474"
10/25/2024,Northwestern,@,Ohio St.,0-2,,"3,455"
11/03/2024,Ohio St.,@,Maryland,2-1,,"3,412"
08/23/2024,Washington,@,Portland,1-2,,"3,306"
12/01/2024,Vermont,@,San Diego,1-0,,"3,227"
08/25/2024,Ohio St.,@,Akron,2-0,,"3,218"
08/26/2024,Howard,@,UMBC,2-3,,"3,206"
09/07/2024,Belmont,@,South Carolina,1-2,,"3,203"
