date,team,opponent,home_away,outcome,team_score,opponent_score,overtime,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_corners,defensive_pk,defensive_pk_att,defensive_gwg,team_id
2024-08-22,Air Force Falcons,SMU,Away,Loss,0,1.0,,,,2.0,2.0,19.0,,6.0,2.0,,,,1.0,,20.0,10.0,15.0,,6.0,5.0,1.0,1.0,1.0,721
2024-08-29,Air Force Falcons,Army West Point,Home,Loss,1,2.0,,1.0,1.0,13.0,5.0,9.0,,2.0,4.0,,,,2.0,,11.0,8.0,6.0,,1.0,3.0,1.0,1.0,1.0,721
2024-09-01,Air Force Falcons,Washington,Home,Loss,1,2.0,,1.0,1.0,7.0,5.0,12.0,,,3.0,,,,2.0,2.0,19.0,12.0,7.0,,,4.0,,,1.0,721
2024-09-06,Air Force Falcons,Michigan St.,Away,Draw,1,1.0,,1.0,1.0,10.0,5.0,13.0,,2.0,4.0,,,,1.0,1.0,16.0,4.0,13.0,,2.0,7.0,,,,721
2024-09-08,Air Force Falcons,Western Mich.,Away,Loss,1,5.0,,1.0,1.0,7.0,4.0,5.0,,1.0,4.0,,,,5.0,8.0,15.0,8.0,9.0,,1.0,8.0,,,1.0,721
2024-09-15,Air Force Falcons,UC San Diego,Away,Loss,0,3.0,,,,7.0,4.0,17.0,1.0,2.0,4.0,,,,3.0,3.0,15.0,8.0,10.0,,1.0,6.0,,,1.0,721
2024-09-20,Air Force Falcons,UC Riverside,Home,Loss,0,2.0,,,,19.0,5.0,9.0,,4.0,2.0,,,,2.0,2.0,8.0,5.0,4.0,,2.0,1.0,,,1.0,721
2024-09-28,Air Force Falcons,Mercer,Away,Loss,0,3.0,,,,12.0,5.0,9.0,,1.0,1.0,,,,3.0,3.0,13.0,7.0,9.0,,2.0,4.0,,,1.0,721
2024-10-03,Air Force Falcons,San Jose St.,Home,Loss,0,3.0,,,,10.0,1.0,11.0,,2.0,3.0,,,,3.0,3.0,17.0,8.0,3.0,,1.0,7.0,,,1.0,721
2024-10-06,Air Force Falcons,Seattle U,Home,Loss,0,2.0,,,,13.0,4.0,10.0,,1.0,2.0,,,,2.0,1.0,16.0,5.0,11.0,,1.0,8.0,,,1.0,721
2024-10-10,Air Force Falcons,Grand Canyon,Away,Win,2,1.0,,2.0,1.0,10.0,8.0,9.0,,,3.0,,,1.0,1.0,2.0,14.0,4.0,8.0,,,5.0,,,,721
2024-10-13,Air Force Falcons,UTRGV,Away,Loss,1,5.0,,1.0,,5.0,2.0,17.0,,2.0,1.0,,1.0,,5.0,6.0,19.0,11.0,12.0,,,6.0,,,1.0,721
2024-10-20,Air Force Falcons,Utah Valley,Home,Loss,0,2.0,,,,6.0,,10.0,,3.0,1.0,,,,2.0,2.0,11.0,6.0,5.0,,2.0,6.0,,,1.0,721
2024-10-24,Air Force Falcons,Utah Tech,Home,Loss,2,3.0,,2.0,3.0,17.0,8.0,9.0,1.0,3.0,7.0,,1.0,,3.0,2.0,11.0,6.0,12.0,,3.0,1.0,1.0,2.0,1.0,721
2024-10-27,Air Force Falcons,UNLV,Home,Loss,0,3.0,,,,9.0,2.0,12.0,,2.0,6.0,,,,3.0,3.0,11.0,6.0,8.0,,1.0,3.0,,,1.0,721
2024-10-31,Air Force Falcons,California Baptist,Away,Loss,2,4.0,,2.0,,15.0,7.0,8.0,,2.0,5.0,,,,4.0,3.0,28.0,9.0,7.0,,1.0,6.0,,,1.0,721
2024-11-03,Air Force Falcons,San Diego St.,Away,Loss,0,2.0,,,,5.0,1.0,14.0,,,1.0,,,,2.0,2.0,17.0,8.0,15.0,,1.0,7.0,1.0,1.0,1.0,721
2024-08-22,Akron Zips,Notre Dame,Away,Draw,1,1.0,,1.0,2.0,5.0,1.0,13.0,,2.0,5.0,,,,1.0,,11.0,3.0,6.0,,3.0,5.0,1.0,1.0,,5
2024-08-25,Akron Zips,Ohio St.,Home,Loss,0,2.0,,,,9.0,3.0,15.0,,3.0,6.0,,,,2.0,2.0,17.0,6.0,23.0,,2.0,6.0,,,1.0,5
2024-08-30,Akron Zips,Western Mich.,Away,Draw,1,1.0,,1.0,1.0,16.0,9.0,19.0,1.0,4.0,7.0,,,,1.0,,8.0,3.0,9.0,,4.0,4.0,1.0,1.0,,5
2024-09-02,Akron Zips,Cleveland St.,Home,Draw,3,3.0,,3.0,2.0,21.0,9.0,10.0,,1.0,4.0,,,,3.0,1.0,11.0,5.0,10.0,,1.0,5.0,,,,5
2024-09-06,Akron Zips,VCU,Home,Win,4,0.0,,4.0,6.0,18.0,6.0,18.0,,5.0,5.0,,,1.0,,,7.0,1.0,12.0,,2.0,2.0,,,,5
2024-09-09,Akron Zips,IU Indy,Home,Loss,1,2.0,,1.0,,26.0,7.0,10.0,,2.0,14.0,,,,2.0,1.0,6.0,4.0,13.0,,4.0,1.0,,,1.0,5
2024-09-14,Akron Zips,Temple,Home,Loss,0,1.0,,,,27.0,9.0,11.0,,3.0,7.0,,,,1.0,,4.0,1.0,12.0,,3.0,,1.0,1.0,1.0,5
2024-09-20,Akron Zips,Butler,Home,Win,4,3.0,,4.0,4.0,13.0,9.0,18.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,3.0,11.0,7.0,16.0,1.0,2.0,1.0,1.0,1.0,,5
2024-09-24,Akron Zips,Saint Francis,Home,Win,8,0.0,,8.0,14.0,25.0,12.0,10.0,,,13.0,,,1.0,,,8.0,2.0,6.0,1.0,3.0,2.0,,,,5
2024-09-28,Akron Zips,Georgetown,Away,Win,1,0.0,,1.0,2.0,8.0,2.0,14.0,,3.0,1.0,,,1.0,,,17.0,8.0,8.0,,2.0,6.0,,,,5
2024-10-04,Akron Zips,Xavier,Home,Win,1,0.0,,1.0,,6.0,2.0,16.0,,1.0,1.0,1.0,1.0,1.0,,,12.0,6.0,14.0,,4.0,4.0,,,,5
2024-10-08,Akron Zips,Wright St.,Home,Win,6,1.0,,6.0,5.0,15.0,10.0,12.0,,3.0,3.0,1.0,1.0,1.0,1.0,,7.0,6.0,10.0,,3.0,2.0,,,,5
2024-10-12,Akron Zips,Villanova,Home,Win,3,2.0,,3.0,3.0,24.0,9.0,9.0,,1.0,9.0,1.0,1.0,1.0,2.0,4.0,12.0,3.0,8.0,,4.0,3.0,,,,5
2024-10-19,Akron Zips,DePaul,Away,Win,4,0.0,,4.0,5.0,17.0,8.0,12.0,,,3.0,,,1.0,,,2.0,,13.0,,,2.0,,,,5
2024-10-23,Akron Zips,Creighton,Home,Win,3,0.0,,3.0,4.0,17.0,3.0,13.0,,2.0,5.0,1.0,1.0,1.0,,,4.0,4.0,17.0,,3.0,2.0,,,,5
2024-10-26,Akron Zips,Marquette,Away,Win,3,0.0,,3.0,4.0,14.0,8.0,11.0,,2.0,5.0,,,1.0,,,6.0,4.0,6.0,,3.0,5.0,,,,5
2024-11-02,Akron Zips,UConn,Away,Draw,0,0.0,,,,4.0,1.0,12.0,,1.0,7.0,,,,,,8.0,,12.0,,1.0,4.0,,,,5
