conference,all,division_i,division_ii,division_iii,non_member
ACC,99-35-34,94-35-34,1-0,4-0,
America East,43-28-24,43-28-24,,,
American,28-29-20,27-29-20,1-0,,
ASUN,21-41-18,18-40-18,0-1,,3-0
Atlantic 10,62-49-31,57-49-31,1-0,2-0,2-0
Big East,55-42-30,53-42-30,,2-0,
Big South,26-45-10,24-45-10,2-0,,
Big Ten,50-25-21,47-25-21,1-0,2-0,
Big West,36-36-27,36-36-26,0-0-1,,
CAA,46-35-23,44-35-23,,2-0,
Horizon,35-39-13,33-39-13,1-0,,1-0
Ivy League,34-34-11,33-34-11,,1-0,
MAAC,36-68-15,35-68-15,,1-0,
MVC,46-34-11,43-34-11,,2-0,1-0
NEC,22-44-16,22-44-16,,,
OVC,24-36-9,16-36-9,2-0,3-0,3-0
Patriot,21-43-28,21-43-28,,,
SoCon,31-23-22,26-23-22,2-0,2-0,1-0
Summit League,28-12-14,26-12-14,1-0,,1-0
Sun Belt,46-26-21,46-26-21,,,
WAC,27-46-21,26-46-21,,,1-0
WCC,33-32-20,31-32-20,,,2-0
