season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,games,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,gaa,saves,sv_pct,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg
2023,A&M-Corpus Christi Islanders,5, Emmie Barton,"Barton, Emmie", Emmie,Barton,Fr,D,4,2,4,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,18, Cariana Pou,"Pou, Cariana", Cariana,Pou,Fr,D,4,0,4,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,15, Olivia Hughes,"Hughes, Olivia", Olivia,Hughes,Sr,D,4,3,4,1,NA,2,3,1,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,12, Kaitlynn Melton,"Melton, Kaitlynn", Kaitlynn,Melton,Jr,M,4,0,4,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,11, Vanessa Wimbish,"Wimbish, Vanessa", Vanessa,Wimbish,Fr,M,4,2,4,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,8, Faith Adams,"Adams, Faith", Faith,Adams,Jr,M,4,0,4,NA,NA,0,2,1,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,99, Aaliyah Ramadan,"Ramadan, Aaliyah", Aaliyah,Ramadan,Fr,F,4,1,4,NA,NA,0,4,2,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,16, Jayden Rea,"Rea, Jayden", Jayden,Rea,Sr,M,4,4,4,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,7, Maggie Murray,"Murray, Maggie", Maggie,Murray,Sr,F,4,3,4,NA,NA,0,1,1,1,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,A&M-Corpus Christi Islanders,23, Reese Cross,"Cross, Reese", Reese,Cross,Sr,D,4,2,4,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
