URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/26172/stats/16641,A&M-Corpus Christi,Southland,2,1,2,4,18,13,20,,5,8,,
https://stats.ncaa.org/team/2/stats/16641,Abilene Christian,WAC,,,,0,,,,,,,,
https://stats.ncaa.org/team/721/stats/16641,Air Force,Mountain West,1,4,5,13,15,10,5,,1,9,,
https://stats.ncaa.org/team/5/stats/16641,Akron,MAC,2,3,2,8,26,11,13,,1,6,,
https://stats.ncaa.org/team/8/stats/16641,Alabama,SEC,2,2,3,7,27,6,32,,4,11,,
https://stats.ncaa.org/team/6/stats/16641,Alabama A&M,SWAC,2,1,1,3,9,5,15,,2,6,,
https://stats.ncaa.org/team/7/stats/16641,American,Patriot,2,1,1,3,32,9,17,,1,11,,
https://stats.ncaa.org/team/17/stats/16641,App State,Sun Belt,1,,,0,8,,10,,1,8,,
https://stats.ncaa.org/team/23/stats/16641,Arizona,Big 12,2,6,2,14,32,15,14,,,6,1,1
https://stats.ncaa.org/team/27/stats/16641,Arizona St.,Big 12,2,7,7,21,36,21,15,,2,11,1,1
https://stats.ncaa.org/team/29/stats/16641,Ark.-Pine Bluff,SWAC,1,,,0,,,3,,,,,
https://stats.ncaa.org/team/28/stats/16641,Arkansas,SEC,1,7,9,23,39,18,14,,1,15,,1
https://stats.ncaa.org/team/2678/stats/16641,Arkansas St.,Sun Belt,2,5,5,15,33,13,19,,1,17,1,1
https://stats.ncaa.org/team/31/stats/16641,Army West Point,Patriot,2,3,3,9,25,9,17,,1,5,1,1
https://stats.ncaa.org/team/30/stats/16641,Auburn,SEC,1,4,2,10,13,8,12,,,4,,
https://stats.ncaa.org/team/725/stats/16641,Austin Peay,ASUN,1,2,2,6,10,6,9,,,2,,
https://stats.ncaa.org/team/37/stats/16641,Ball St.,MAC,1,4,4,12,28,12,9,,,9,1,1
https://stats.ncaa.org/team/43/stats/16641,Baylor,Big 12,2,5,3,13,32,14,19,,,8,,
https://stats.ncaa.org/team/77/stats/16641,Bellarmine,ASUN,1,,,0,3,2,9,,,1,,
https://stats.ncaa.org/team/47/stats/16641,Belmont,MVC,2,3,3,9,14,10,18,,1,9,,
https://stats.ncaa.org/team/51/stats/16641,Binghamton,America East,1,3,2,8,14,4,11,,,8,,
https://stats.ncaa.org/team/52/stats/16641,Boise St.,Mountain West,1,2,2,6,24,9,12,,2,5,,
https://stats.ncaa.org/team/14927/stats/16641,Boston College,ACC,2,6,7,19,46,21,22,,2,19,,
https://stats.ncaa.org/team/62/stats/16641,Boston U.,Patriot,2,3,2,8,19,9,18,,1,16,,
https://stats.ncaa.org/team/66/stats/16641,Bowling Green,MAC,1,3,4,10,16,6,10,,,8,,
https://stats.ncaa.org/team/67/stats/16641,Bryant,America East,1,,,0,11,2,10,,,7,,
https://stats.ncaa.org/team/68/stats/16641,Bucknell,Patriot,2,3,3,9,27,12,19,,,6,1,1
https://stats.ncaa.org/team/71/stats/16641,Buffalo,MAC,1,1,1,3,23,10,8,,1,9,,
https://stats.ncaa.org/team/81/stats/16641,Butler,Big East,2,4,4,12,41,17,12,,1,18,,
https://stats.ncaa.org/team/83/stats/16641,BYU,Big 12,1,1,2,4,7,3,8,,,1,,
https://stats.ncaa.org/team/86/stats/16641,Cal Poly,Big West,2,1,1,3,25,9,18,,1,7,,
https://stats.ncaa.org/team/87/stats/16641,Cal St. Fullerton,Big West,1,3,3,9,17,8,10,,,4,,
https://stats.ncaa.org/team/94/stats/16641,California,ACC,2,3,1,7,22,9,17,,3,10,1,1
https://stats.ncaa.org/team/101/stats/16641,California Baptist,WAC,2,1,,2,27,14,23,,2,12,,
https://stats.ncaa.org/team/90/stats/16641,Campbell,CAA,2,3,4,10,16,7,17,,,5,,
https://stats.ncaa.org/team/97/stats/16641,Central Ark.,ASUN,1,2,2,6,8,7,8,,,8,,
https://stats.ncaa.org/team/107/stats/16641,Central Conn. St.,NEC,1,,,0,8,4,14,,,1,,
https://stats.ncaa.org/team/30135/stats/16641,Central Mich.,MAC,1,,,0,3,1,10,,,3,,
https://stats.ncaa.org/team/115/stats/16641,Charleston So.,Big South,2,2,2,6,16,7,13,,2,7,,
https://stats.ncaa.org/team/116/stats/16641,Charlotte,AAC,2,1,,2,20,8,24,,,10,1,1
https://stats.ncaa.org/team/1004/stats/16641,Chattanooga,SoCon,2,2,1,5,12,6,24,,3,2,1,1
https://stats.ncaa.org/team/127/stats/16641,Chicago St.,NEC,2,1,1,3,7,3,23,,3,5,,
https://stats.ncaa.org/team/129/stats/16641,Cincinnati,Big 12,2,5,3,13,35,19,24,,3,13,,
https://stats.ncaa.org/team/48/stats/16641,Clemson,ACC,2,2,1,5,26,10,9,,2,13,,
https://stats.ncaa.org/team/458/stats/16641,Cleveland St.,Horizon,1,1,,2,3,2,10,,,4,,
https://stats.ncaa.org/team/693/stats/16641,Coastal Carolina,Sun Belt,1,1,1,3,13,6,6,,,5,,1
https://stats.ncaa.org/team/136/stats/16641,Col. of Charleston,CAA,2,8,6,22,51,26,15,,2,18,1,1
https://stats.ncaa.org/team/140/stats/16641,Colgate,Patriot,2,1,1,3,20,11,14,1,,10,,
https://stats.ncaa.org/team/147/stats/16641,Colorado,Big 12,2,5,4,14,25,15,13,,1,4,,1
https://stats.ncaa.org/team/148/stats/16641,Colorado Col.,Mountain West,2,1,1,3,10,6,22,,1,2,,
https://stats.ncaa.org/team/149/stats/16641,Colorado St.,Mountain West,2,2,1,5,36,16,21,,3,10,1,1
https://stats.ncaa.org/team/1014/stats/16641,Creighton,Big East,2,3,1,7,17,7,38,,5,5,,
https://stats.ncaa.org/team/153/stats/16641,CSU Bakersfield,Big West,2,,,0,12,8,22,,1,9,,
https://stats.ncaa.org/team/157/stats/16641,CSUN,Big West,2,,,0,13,9,20,,1,2,,
https://stats.ncaa.org/team/154/stats/16641,Davidson,Atlantic 10,1,,,0,15,8,11,,,6,,
https://stats.ncaa.org/team/156/stats/16641,Dayton,Atlantic 10,1,2,,4,12,8,13,,3,,1,1
https://stats.ncaa.org/team/169/stats/16641,Delaware,CAA,2,1,1,3,10,5,16,,,3,,
https://stats.ncaa.org/team/173/stats/16641,Delaware St.,NEC,1,,,0,3,1,8,,,1,,
https://stats.ncaa.org/team/175/stats/16641,Denver,Summit League,2,1,,2,22,6,22,,3,12,1,1
https://stats.ncaa.org/team/176/stats/16641,DePaul,Big East,2,1,1,3,9,4,18,,3,3,,
https://stats.ncaa.org/team/180/stats/16641,Detroit Mercy,Horizon,2,3,1,7,13,8,31,,2,5,1,1
https://stats.ncaa.org/team/178/stats/16641,Drake,MVC,2,1,1,3,14,10,13,,4,8,,
https://stats.ncaa.org/team/183/stats/16641,Drexel,CAA,1,1,1,3,11,5,11,,,6,,1
