Institution,Conference,Goals,Assists,ShAtt,SoG,Fouls,RedCards,YellowCards,Corners,PK,PKAtt
A&M-Corpus Christi,Southland,26,24,226,126,189,,17,95,,
Abilene Christian,WAC,29,20,205,98,154,,12,83,,
Air Force,Mountain West,20,13,296,127,147,,7,80,1,2
Akron,MAC,11,7,192,85,154,,9,58,1,1
Alabama,SEC,32,26,304,135,224,,24,107,1,1
Alabama A&M,SWAC,18,7,189,103,124,,15,57,1,1
Alabama St.,SWAC,20,15,168,92,131,,11,40,2,6
Alcorn,SWAC,23,18,129,80,79,,14,26,1,16
American,Patriot,11,10,168,65,147,,9,47,,
App State,Sun Belt,24,23,248,116,161,1,17,79,1,1
Arizona,Pac-12,25,12,203,95,167,,17,69,1,1
Arizona St.,Pac-12,30,31,224,100,148,,12,92,1,1
Ark.-Pine Bluff,SWAC,49,18,279,172,139,,20,72,1,12
Arkansas,SEC,58,53,392,171,273,,27,181,3,3
Arkansas St.,Sun Belt,17,18,174,75,156,2,10,56,2,2
Army West Point,Patriot,29,26,281,122,169,1,9,65,5,5
Auburn,SEC,26,25,221,105,165,,7,73,,
Austin Peay,ASUN,19,17,210,102,209,,7,77,,
Ball St.,MAC,33,26,207,103,178,,9,56,,
Baylor,Big 12,33,33,248,121,150,,16,112,,
Bellarmine,ASUN,18,11,163,82,142,,14,40,2,2
Belmont,MVC,12,10,118,60,178,,6,61,1,1
Binghamton,America East,24,19,236,98,154,,19,105,4,4
Boise St.,Mountain West,31,27,325,138,245,,24,121,,1
Boston College,ACC,18,18,154,76,155,1,10,70,1,2
Boston U.,Patriot,31,29,282,133,190,,14,97,3,3
Bowling Green,MAC,26,29,245,121,235,,20,84,1,1
Brown,Ivy League,34,37,245,115,187,,12,97,1,1
Bryant,America East,18,11,164,84,101,,4,61,2,2
Bucknell,Patriot,34,41,291,139,179,1,21,67,1,2
Buffalo,MAC,24,26,237,118,161,,9,75,1,2
Butler,Big East,31,28,279,110,203,1,19,77,2,3
BYU,Big 12,79,80,545,247,198,1,12,171,5,6
Cal Poly,Big West,30,31,250,125,193,2,8,89,2,2
Cal St. Fullerton,Big West,25,24,297,124,204,,22,124,3,3
California,Pac-12,29,19,177,82,171,,18,90,2,2
California Baptist,WAC,39,36,292,120,208,,26,108,2,2
Campbell,CAA,22,20,158,75,140,1,16,70,1,1
Canisius,MAAC,20,21,277,121,203,,19,93,,
Central Ark.,ASUN,24,19,188,89,184,,21,62,2,2
Central Conn. St.,NEC,38,32,289,161,226,,18,109,4,5
Central Mich.,MAC,14,14,195,93,191,1,18,64,,
Charleston So.,Big South,30,21,230,115,111,1,10,75,2,4
Charlotte,AAC,29,24,213,104,167,,16,93,,
Chattanooga,SoCon,28,27,274,131,150,,7,69,1,1
Chicago St.,DI Independent,21,14,89,46,172,,21,25,,
Cincinnati,Big 12,17,15,174,81,172,,17,65,1,1
Clemson,ACC,56,63,437,218,208,,21,158,3,3
Cleveland St.,Horizon,19,16,204,97,168,,14,67,1,2
Coastal Carolina,Sun Belt,11,7,104,45,142,1,23,36,2,2
Col. of Charleston,CAA,19,19,233,110,168,,16,62,1,1
Colgate,Patriot,15,13,173,69,164,2,6,71,1,1
Colorado,Pac-12,37,29,318,134,226,,21,123,4,5
Colorado Col.,Mountain West,15,14,183,72,179,1,16,67,1,1
Colorado St.,Mountain West,32,26,291,146,198,2,10,151,1,1
Columbia,Ivy League,35,29,240,99,179,1,12,88,,
Cornell,Ivy League,21,16,205,94,146,,6,71,,
Creighton,Big East,20,16,212,93,203,,12,81,,1
CSU Bakersfield,Big West,14,12,179,87,183,2,20,69,1,2
CSUN,Big West,13,13,154,70,198,2,16,54,1,1
Dartmouth,Ivy League,16,16,133,65,149,,6,51,1,1
Davidson,Atlantic 10,11,7,186,79,169,,12,82,,2
Dayton,Atlantic 10,37,31,349,161,191,,15,113,3,9
Delaware,CAA,22,9,171,81,137,,6,45,,
Delaware St.,NEC,2,1,102,61,115,,9,29,,
Denver,Summit League,38,39,299,139,172,,17,102,3,5
DePaul,Big East,13,8,145,56,172,,13,66,2,2
Detroit Mercy,Horizon,32,23,248,122,202,2,22,83,2,2
Drake,MVC,33,34,208,97,242,,44,68,5,5
Drexel,CAA,35,32,271,139,180,1,18,96,2,2
Duke,ACC,15,17,198,68,124,,5,61,1,2
Duquesne,Atlantic 10,25,22,231,104,248,1,20,77,2,2
East Carolina,AAC,26,22,225,93,153,,20,109,2,3
Eastern Ill.,OVC,17,10,131,64,139,1,11,44,3,3
Eastern Ky.,ASUN,15,14,243,101,164,,7,91,2,4
Eastern Mich.,MAC,18,12,210,105,196,1,17,89,2,3
Eastern Wash.,Big Sky,35,30,219,113,147,,10,77,4,5
Elon,CAA,25,23,195,84,177,,21,62,3,3
ETSU,SoCon,27,24,235,91,207,,19,108,2,2
Evansville,MVC,9,5,156,60,120,,12,53,,
Fairfield,MAAC,35,28,381,150,172,,12,133,,
FDU,NEC,23,16,239,112,171,,16,95,1,3
FGCU,ASUN,33,39,321,149,197,,14,100,1,3
FIU,CUSA,38,29,253,130,160,,15,87,7,8
Fla. Atlantic,AAC,20,24,152,79,168,,11,85,1,1
Florida,SEC,24,20,174,81,156,,10,61,2,3
Florida St.,ACC,75,81,409,202,216,,16,144,6,6
Fordham,Atlantic 10,21,16,248,106,230,1,14,68,1,2
Fresno St.,Mountain West,22,19,208,102,182,1,24,94,1,3
Furman,SoCon,25,19,198,104,178,,12,107,2,2
Ga. Southern,Sun Belt,35,31,302,128,151,,9,97,1,2
Gardner-Webb,Big South,22,24,163,84,133,,6,45,2,3
George Mason,Atlantic 10,8,5,114,53,188,,19,40,,2
George Washington,Atlantic 10,25,22,233,101,198,,13,78,2,3
Georgetown,Big East,33,30,295,118,202,,20,174,,
Georgia,SEC,36,29,296,124,172,1,8,96,4,4
Georgia St.,Sun Belt,36,30,293,124,120,,5,112,1,1
Gonzaga,WCC,56,44,358,182,208,,6,129,4,4
Grambling,SWAC,44,42,308,175,246,1,19,111,2,11
Grand Canyon,WAC,55,56,409,194,202,,14,117,,2
Green Bay,Horizon,8,5,137,64,155,1,7,28,2,2
Hampton,CAA,8,4,101,47,187,1,23,34,1,1
Harvard,Ivy League,48,48,325,152,195,,14,106,3,3
Hawaii,Big West,27,21,220,98,167,2,16,59,4,4
High Point,Big South,23,18,256,107,146,1,7,102,2,2
Hofstra,CAA,24,20,248,109,199,1,18,99,2,2
Holy Cross,Patriot,16,12,197,83,191,1,23,59,2,2
Houston,Big 12,39,33,231,113,140,,13,77,1,1
Houston Christian,Southland,27,25,280,131,144,,13,59,3,3
Howard,NEC,48,36,361,179,185,,20,119,2,4
Idaho,Big Sky,30,32,284,128,163,,6,91,2,3
Idaho St.,Big Sky,25,22,229,96,194,1,28,57,1,1
Illinois,Big Ten,21,22,194,93,166,,10,79,1,3
Illinois St.,MVC,15,13,158,70,160,1,21,58,1,1
Indiana,Big Ten,31,34,315,132,205,,17,105,2,2
Indiana St.,MVC,11,10,134,68,192,,14,70,,
Iona,MAAC,9,8,164,63,176,,13,84,1,2
Iowa,Big Ten,36,33,307,149,304,,22,97,4,6
Iowa St.,Big 12,19,15,173,88,219,,30,74,2,4
IUPUI,Horizon,33,32,286,139,149,,8,89,3,4
Jackson St.,SWAC,26,17,218,123,209,,30,69,1,3
Jacksonville,ASUN,18,10,189,85,143,,15,46,3,3
Jacksonville St.,CUSA,35,32,204,107,164,,32,74,2,2
James Madison,Sun Belt,29,31,240,122,120,,12,99,3,4
Kansas,Big 12,22,16,239,97,182,,11,72,,
Kansas City,Summit League,19,17,179,71,160,1,19,70,,2
Kansas St.,Big 12,11,9,226,83,195,,14,87,,
