Institution,Conference,Goalie Min. Plyd,GA,Saves
A&M-Corpus Christi,Southland,1730:00:00,27,91
Abilene Christian,WAC,1620:00:00,29,63
Air Force,Mountain West,1620:00:00,25,85
Akron,MAC,1620:00:00,33,77
Alabama,SEC,2000:00:00,22,70
Alabama A&M,SWAC,1709:23:00,46,111
Alabama St.,SWAC,1530:00:00,49,153
Alcorn,SWAC,1440:00:00,39,152
American,Patriot,1440:00:00,28,64
App State,Sun Belt,1640:00:00,16,65
Arizona,Pac-12,1710:00:00,28,79
Arizona St.,Pac-12,1890:00:00,20,84
Ark.-Pine Bluff,SWAC,1890:00:00,36,138
Arkansas,SEC,1980:00:00,21,75
Arkansas St.,Sun Belt,1440:00:00,29,98
Army West Point,Patriot,1820:00:00,18,76
Auburn,SEC,1800:00:00,22,67
Austin Peay,ASUN,1910:00:00,37,119
Ball St.,MAC,1710:00:00,29,117
Baylor,Big 12,1710:00:00,26,91
Bellarmine,ASUN,1620:00:00,26,100
Belmont,MVC,1710:00:00,23,112
Binghamton,America East,1550:00:00,20,81
Boise St.,Mountain West,1910:00:00,22,94
Boston College,ACC,1620:00:00,32,89
Boston U.,Patriot,1820:00:00,30,81
Bowling Green,MAC,1620:00:00,23,80
Brown,Ivy League,1550:00:00,13,49
Bryant,America East,1440:00:00,14,86
Bucknell,Patriot,1930:00:00,22,140
Buffalo,MAC,1620:00:00,22,47
Butler,Big East,1800:00:00,31,58
BYU,Big 12,2340:00:00,28,89
Cal Poly,Big West,1890:00:00,24,65
Cal St. Fullerton,Big West,1800:00:00,19,96
California,Pac-12,1710:00:00,23,91
California Baptist,WAC,1710:00:00,13,68
Campbell,CAA,1530:00:00,22,70
Canisius,MAAC,1620:00:00,13,65
Central Ark.,ASUN,1800:00:00,30,112
Central Conn. St.,NEC,1840:00:00,29,85
Central Mich.,MAC,1440:00:00,28,88
Charleston So.,Big South,1614:03:00,17,95
Charlotte,AAC,1791:05:00,16,86
Chattanooga,SoCon,1640:00:00,23,72
Chicago St.,DI Independent,1400:00:00,48,90
Cincinnati,Big 12,1710:00:00,25,72
Clemson,ACC,2360:00:00,19,65
Cleveland St.,Horizon,1530:00:00,26,58
Coastal Carolina,Sun Belt,1530:00:00,30,88
Col. of Charleston,CAA,1530:00:00,25,78
Colgate,Patriot,1800:00:00,28,72
Colorado,Pac-12,1890:00:00,18,74
Colorado Col.,Mountain West,1620:00:00,49,128
Colorado St.,Mountain West,2000:00:00,23,78
Columbia,Ivy League,1730:00:00,13,64
Cornell,Ivy League,1350:00:00,20,58
Creighton,Big East,1620:00:00,31,77
CSU Bakersfield,Big West,1530:00:00,37,93
CSUN,Big West,1710:00:00,37,108
Dartmouth,Ivy League,1350:00:00,13,75
Davidson,Atlantic 10,1530:00:00,23,67
Dayton,Atlantic 10,1820:00:00,11,88
Delaware,CAA,1620:00:00,13,74
Delaware St.,NEC,1440:00:00,54,162
Denver,Summit League,1640:00:00,22,43
DePaul,Big East,1530:00:00,21,92
Detroit Mercy,Horizon,1710:00:00,31,71
Drake,MVC,1800:00:00,18,77
Drexel,CAA,1575:00:00,28,63
Duke,ACC,1440:00:00,20,49
Duquesne,Atlantic 10,1800:00:00,30,101
East Carolina,AAC,1710:00:00,20,61
Eastern Ill.,OVC,1550:00:00,23,97
Eastern Ky.,ASUN,1730:00:00,16,64
Eastern Mich.,MAC,1710:00:00,43,122
Eastern Wash.,Big Sky,1530:00:00,49,117
Elon,CAA,1530:00:00,24,73
ETSU,SoCon,1710:00:00,10,58
Evansville,MVC,1530:00:00,20,87
Fairfield,MAAC,1800:00:00,23,51
FDU,NEC,1710:00:00,40,94
FGCU,ASUN,2000:00:00,18,121
FIU,CUSA,1620:00:00,19,53
Fla. Atlantic,AAC,1785:28:00,21,81
Florida,SEC,1521:05:00,15,32
Florida St.,ACC,2070:00:00,14,45
Fordham,Atlantic 10,1620:00:00,31,76
Fresno St.,Mountain West,1800:00:00,26,78
Furman,SoCon,1730:00:00,21,94
Ga. Southern,Sun Belt,1730:00:00,22,89
Gardner-Webb,Big South,1575:00:00,42,115
George Mason,Atlantic 10,1620:00:00,53,109
George Washington,Atlantic 10,1620:00:00,38,115
Georgetown,Big East,2000:00:00,13,70
Georgia,SEC,2110:00:00,24,85
Georgia St.,Sun Belt,1800:00:00,12,63
Gonzaga,WCC,1800:00:00,22,70
Grambling,SWAC,2159:23:00,30,91
Grand Canyon,WAC,2070:00:00,21,74
Green Bay,Horizon,1440:00:00,35,103
Hampton,CAA,1620:00:00,108,172
Harvard,Ivy League,1710:00:00,20,28
Hawaii,Big West,1440:00:00,30,65
High Point,Big South,1620:00:00,21,75
Hofstra,CAA,1640:00:00,16,51
Holy Cross,Patriot,1530:00:00,21,67
Houston,Big 12,1620:00:00,29,85
Houston Christian,Southland,1618:52:00,35,61
Howard,NEC,1820:00:00,19,103
Idaho,Big Sky,1710:00:00,16,69
Idaho St.,Big Sky,1710:00:00,52,111
Illinois,Big Ten,1530:00:00,25,92
Illinois St.,MVC,1440:00:00,38,72
Indiana,Big Ten,1800:00:00,16,53
Indiana St.,MVC,1620:00:00,18,83
Iona,MAAC,1710:00:00,54,137
Iowa,Big Ten,2020:00:00,17,58
Iowa St.,Big 12,1620:00:00,36,73
IU Indy,Horizon,1730:00:00,18,97
Jackson St.,SWAC,1800:00:00,24,80
Jacksonville,ASUN,1620:00:00,37,92
Jacksonville St.,CUSA,1530:00:00,29,64
James Madison,Sun Belt,2020:00:00,19,83
Kansas,Big 12,1620:00:00,18,78
Kansas City,Summit League,1620:00:00,32,88
Kansas St.,Big 12,1620:00:00,25,84
Kennesaw St.,ASUN,1730:00:00,27,78
Kent St.,MAC,1890:00:00,26,105
Kentucky,SEC,1730:00:00,12,52
La Salle,Atlantic 10,1893:08:00,25,87
Lafayette,Patriot,1440:00:00,20,81
Lamar University,Southland,1910:00:00,14,77
Le Moyne,NEC,1620:00:00,37,120
Lehigh,Patriot,1550:00:00,18,68
Liberty,CUSA,1800:00:00,12,59
Lindenwood,OVC,1530:00:00,32,87
Lipscomb,ASUN,1800:00:00,17,59
Little Rock,OVC,1800:00:00,26,66
LIU,NEC,1530:00:00,22,73
LMU (CA),WCC,1710:00:00,26,56
Long Beach St.,Big West,1820:00:00,30,84
Longwood,Big South,1530:00:00,18,72
Louisiana,Sun Belt,1620:00:00,28,102
Louisiana Tech,CUSA,1800:00:00,49,74
Louisville,ACC,1620:00:00,25,66
Loyola Chicago,Atlantic 10,1620:00:00,23,55
Loyola Maryland,Patriot,1530:00:00,16,34
LSU,SEC,1820:00:00,28,75
Maine,America East,1730:00:00,20,76
Manhattan,MAAC,1350:00:00,21,85
Marist,MAAC,1440:00:00,29,80
Marquette,Big East,1710:00:00,30,83
Marshall,Sun Belt,1530:00:00,29,92
Maryland,Big Ten,1620:00:00,34,72
Massachusetts,Atlantic 10,1620:00:00,17,79
McNeese,Southland,1910:00:00,22,126
Memphis,AAC,1980:00:00,13,71
Mercer,SoCon,1890:00:00,23,65
Merrimack,NEC,1640:00:00,23,92
Miami (FL),ACC,1530:00:00,28,90
Miami (OH),MAC,1710:00:00,23,66
Michigan,Big Ten,1620:00:00,20,89
Michigan St.,Big Ten,1980:00:00,22,61
Middle Tenn.,CUSA,1620:00:00,32,76
Milwaukee,Horizon,1800:00:00,19,77
Minnesota,Big Ten,1530:00:00,16,48
Mississippi St.,SEC,2110:00:00,16,75
Mississippi Val.,SWAC,1260:00:00,32,77
Missouri,SEC,1530:00:00,29,61
Missouri St.,MVC,1730:00:00,8,66
Monmouth,CAA,1730:00:00,15,65
Montana,Big Sky,1710:00:00,9,84
Morehead St.,OVC,1820:00:00,25,89
Mount St. Mary's,MAAC,1730:00:00,21,108
Murray St.,MVC,1820:00:00,23,88
Navy,Patriot,1710:00:00,20,78
NC State,ACC,1620:00:00,33,87
Nebraska,Big Ten,2180:00:00,29,95
Nevada,Mountain West,1890:00:00,32,109
New Hampshire,America East,1440:00:00,13,72
New Mexico,Mountain West,1530:00:00,23,80
New Mexico St.,CUSA,1710:00:00,28,78
Niagara,MAAC,1640:00:00,32,114
Nicholls,Southland,1710:00:00,68,128
NIU,MAC,1710:00:00,19,76
NJIT,America East,1710:00:00,26,70
North Ala.,ASUN,2000:00:00,14,75
North Carolina,ACC,2090:00:00,20,52
North Dakota,Summit League,1620:00:00,21,95
North Dakota St.,Summit League,1530:00:00,18,80
North Florida,ASUN,1620:00:00,25,50
North Texas,AAC,1440:00:00,20,64
Northeastern,CAA,1640:00:00,17,62
Northern Ariz.,Big Sky,1800:00:00,17,103
Northern Colo.,Big Sky,1620:00:00,41,117
Northern Ky.,Horizon,1820:00:00,15,81
Northwestern,Big Ten,1620:00:00,20,52
Northwestern St.,Southland,1750:00:00,27,95
Notre Dame,ACC,1800:00:00,24,58
Oakland,Horizon,1620:00:00,29,75
Ohio,MAC,1980:00:00,22,99
Ohio St.,Big Ten,1710:00:00,31,88
Oklahoma,Big 12,1800:00:00,34,71
Oklahoma St.,Big 12,1800:00:00,15,74
Old Dominion,Sun Belt,1930:00:00,11,56
Ole Miss,SEC,1530:00:00,20,78
Omaha,Summit League,1730:00:00,19,81
Oral Roberts,Summit League,1710:00:00,33,72
Oregon,Pac-12,1710:00:00,48,121
Oregon St.,Pac-12,1710:00:00,34,100
Pacific,WCC,1710:00:00,47,88
Penn,Ivy League,1440:00:00,13,70
Penn St.,Big Ten,2110:00:00,15,84
Pepperdine,WCC,1710:00:00,21,73
Pittsburgh,ACC,2180:00:00,27,85
Portland,WCC,1530:00:00,9,47
Portland St.,Big Sky,1620:00:00,27,82
Prairie View,SWAC,1440:00:00,45,119
Presbyterian,Big South,1435:11:00,32,85
Princeton,Ivy League,1730:00:00,23,56
Providence,Big East,1820:00:00,15,91
Purdue,Big Ten,1620:00:00,30,82
Purdue Fort Wayne,Horizon,1620:00:00,23,101
Queens (NC),ASUN,1730:00:00,18,120
Quinnipiac,MAAC,1620:00:00,18,42
Radford,Big South,1800:00:00,24,92
Rhode Island,Atlantic 10,1710:00:00,20,86
Rice,AAC,1620:00:00,47,99
Richmond,Atlantic 10,1620:00:00,24,81
Rider,MAAC,1620:00:00,19,97
Robert Morris,Horizon,1800:00:00,25,85
Rutgers,Big Ten,1820:00:00,17,77
Sacramento St.,Big Sky,1620:00:00,27,90
Sacred Heart,NEC,1710:00:00,24,96
Saint Francis (PA),NEC,1530:00:00,41,97
Saint Joseph's,Atlantic 10,1710:00:00,25,102
Saint Louis,Atlantic 10,2180:00:00,15,100
Saint Mary's (CA),WCC,1620:00:00,21,69
Saint Peter's,MAAC,1350:00:00,48,109
Sam Houston,CUSA,1530:00:00,29,89
Samford,SoCon,1910:00:00,14,53
San Diego,WCC,1620:00:00,48,115
San Diego St.,Mountain West,1820:00:00,20,107
San Francisco,WCC,1620:00:00,38,75
San Jose St.,Mountain West,1710:00:00,31,105
Santa Clara,WCC,1890:00:00,13,58
Seattle U,WAC,1890:00:00,24,84
Seton Hall,Big East,1620:00:00,24,67
SFA,WAC,1620:00:00,59,102
Siena,MAAC,1530:00:00,33,89
SIUE,OVC,1550:00:00,24,67
SMU,AAC,1620:00:00,21,69
South Alabama,Sun Belt,1800:00:00,9,41
South Carolina,SEC,1890:00:00,12,69
South Carolina St.,DI Independent,1109:35:00,86,114
South Dakota,Summit League,1620:00:00,27,88
South Dakota St.,Summit League,1800:00:00,21,55
South Fla.,AAC,1620:00:00,19,53
Southeast Mo. St.,OVC,1750:00:00,16,77
Southeastern La.,Southland,1640:00:00,24,76
Southern California,Pac-12,1710:00:00,17,47
Southern Ill.,MVC,1530:00:00,25,72
Southern Ind.,OVC,1710:00:00,25,75
Southern Miss.,Sun Belt,1620:00:00,31,71
Southern U.,SWAC,1620:00:00,27,100
Southern Utah,WAC,1710:00:00,43,118
St. Bonaventure,Atlantic 10,1530:00:00,25,95
St. John's (NY),Big East,1710:00:00,27,63
St. Thomas (MN),Summit League,1350:00:00,22,73
Stanford,Pac-12,2270:00:00,15,78
Stetson,ASUN,1620:00:00,39,146
Stonehill,NEC,1620:00:00,44,117
Stony Brook,CAA,1620:00:00,23,84
Syracuse,ACC,1620:00:00,48,130
Tarleton St.,WAC,1710:00:00,37,139
TCU,Big 12,1710:00:00,21,49
Temple,AAC,1620:00:00,44,109
Tennessee,SEC,1805:28:00,28,72
Tennessee Tech,OVC,1730:00:00,21,99
Tex. A&M-Commerce,Southland,1710:00:00,36,90
Texas,Big 12,2160:00:00,27,91
Texas A&M,SEC,2000:00:00,24,73
Texas Southern,SWAC,1888:25:00,57,154
Texas St.,Sun Belt,1800:00:00,28,91
Texas Tech,Big 12,2090:00:00,11,72
The Citadel,SoCon,1609:25:00,27,86
Toledo,MAC,1620:00:00,27,92
Towson,CAA,1800:00:00,14,71
Troy,Sun Belt,1620:00:00,26,62
Tulsa,AAC,1710:00:00,33,72
UAB,AAC,1620:00:00,22,64
UAlbany,America East,1440:00:00,33,86
UC Davis,Big West,1710:00:00,19,76
UC Irvine,Big West,2180:00:00,28,77
UC Riverside,Big West,1710:00:00,33,97
UC San Diego,Big West,1620:00:00,29,102
UC Santa Barbara,Big West,1710:00:00,24,60
UCF,Big 12,1620:00:00,25,72
UCLA,Pac-12,1710:00:00,12,29
UConn,Big East,1710:00:00,10,61
UIC,MVC,1730:00:00,17,60
UIW,Southland,1440:00:00,12,76
ULM,Sun Belt,1730:00:00,18,60
UMass Lowell,America East,1660:00:00,27,90
UMBC,America East,1620:00:00,39,96
UNC Asheville,Big South,1519:25:00,19,77
UNC Greensboro,SoCon,1730:00:00,24,63
UNCW,CAA,1530:00:00,25,73
UNI,MVC,1710:00:00,19,57
UNLV,Mountain West,1755:00:00,24,80
USC Upstate,Big South,1710:00:00,19,57
UT Martin,OVC,1707:36:00,28,89
Utah,Pac-12,1800:00:00,31,107
Utah St.,Mountain West,2090:00:00,18,83
Utah Tech,WAC,1800:00:00,36,100
Utah Valley,WAC,1710:00:00,24,59
UTEP,CUSA,1530:00:00,32,63
UTRGV,WAC,1530:00:00,35,74
UTSA,AAC,1620:00:00,13,56
Valparaiso,MVC,2090:00:00,20,99
Vanderbilt,SEC,1620:00:00,17,44
VCU,Atlantic 10,1620:00:00,20,48
Vermont,America East,1620:00:00,23,87
Villanova,Big East,1620:00:00,20,51
Virginia,ACC,1530:00:00,11,51
Virginia Tech,ACC,1620:00:00,17,80
VMI,SoCon,1710:00:00,44,124
Wagner,NEC,1840:00:00,25,106
Wake Forest,ACC,1620:00:00,15,36
Washington,Pac-12,1710:00:00,23,64
Washington St.,Pac-12,1710:00:00,26,53
Weber St.,Big Sky,1350:00:00,34,66
West Virginia,Big 12,1710:00:00,25,63
Western Caro.,SoCon,1887:36:00,18,68
Western Ill.,OVC,1440:00:00,22,89
Western Ky.,CUSA,1620:00:00,15,59
Western Mich.,MAC,1710:00:00,16,46
William & Mary,CAA,1820:00:00,18,60
Winthrop,Big South,1243:48:00,28,87
Wisconsin,Big Ten,2090:00:00,15,63
Wofford,SoCon,1800:00:00,44,77
Wright St.,Horizon,1620:00:00,31,109
Wyoming,Mountain West,1710:00:00,30,88
Xavier,Big East,2000:00:00,11,60
Yale,Ivy League,1440:00:00,29,77
Youngstown St.,Horizon,1530:00:00,19,85
